etapa,punto,eje,severidad,ancla,referencias,ubicacion,accionable,veracidad,destino,evidencia
backend,1,CORRECCION,MAYOR,SPEC,HU-06-04; RN-4; RN-9,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,R1-R5. Artefacto L12-22: «Un chainId/network repetido… saltea… validación»; backend/src/http/app.ts:256-267. paso2-revisor app.ts:256-267: guardas `typeof rawChainId === 'string'` / `typeof rawNetwork === 'string'` (array de query repetida en Fastify no entra). Spec HU-06-04 RN-4: si la consulta especifica chainId distinto de Sepolia ⇒ CHAIN_ID_MISMATCH. Destino paso3: queryValues() y `for (const raw of queryValues(query.chainId))` evalúa cada valor.
backend,2,CORRECCION,MAYOR,SPEC,HU-09-01; RN-10; HU-06-04; RN-6,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,R4/R5. L24-32: tokenAddress sin EIP-55; config/index.ts:127-133 y app.ts:280. paso2 parseAddressEnv sólo `/^0x[0-9a-fA-F]{40}$/` y app.ts:280 emite `deps.config.chain.usdcContractAddress` tal cual. HU-09-01 RN-10 y HU-06-04 RN-6 exigen 0x+40 hex con checksum EIP-55. Destino paso3: parseRequiredAddressEnv normaliza con toChecksumAddress() y rechaza mixed-case cuyo checksum no verifica.
backend,3,CORRECCION,MENOR,SPEC,00-fundaciones/activos-y-par-de-trading.md,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R2 MENOR (no AT/RN/INV; no impide arranque). L34-41: default hardcodeado; config/index.ts:46,177. paso2 DEFAULT_USDC_CONTRACT_ADDRESS='0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238' como fallback. Spec activos-y-par-de-trading.md §2.2: «no se fija un valor literal aquí… única y constante por entorno». Destino paso3: se elimina el default; ausencia ⇒ ConfigError al arrancar."
backend,4,CORRECCION,MAYOR,SPEC,HU-06-02; RN-8; HU-06-03; RN-1; HU-06-01; RN-11,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,R1 agrupa bucle 2³¹ + tests sólo último nivel; se codea por RN-8. L43-63: derivation.ts:102 `if (error instanceof InvalidChildKeyError) continue;`; InvalidChildKeyError.index en bip32.ts:38-46; assignTx.immediate() deposit-address-service.ts:152. HU-06-02 RN-8: avanzar el i del nivel que falló. deriveAccountAt re-deriva el path: fallo en 44'/60'/0'/0 no depende de address_index. Tests wallet-crypto.test.ts:240-302 stubbean el último nivel. Destino paso3: error.depth; continue sólo si depth===5 && index===address_index; resto INTERNAL_ERROR.
backend,5,CORRECCION,MENOR,SPEC,00-fundaciones/modelo-de-errores.md,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R2 MENOR (catálogo, no AT/RN). L65-73: db.ts:92-105 isUniqueConstraintViolation acepta todo SQLITE_CONSTRAINT*; accounts-service.ts:137 mapea a EMAIL_ALREADY_EXISTS. modelo-de-errores.md §3.6: disparador exclusivo «Registro con un email ya existente». Destino paso3: isUniqueConstraintViolationOn(error, 'accounts.email'); el resto se propaga."
backend,6,OPERABILIDAD,MAYOR,SPEC,HU-06-01; RN-6,ARCHIVO,SI,VERDADERO,RESUELTO,R4/R5. L75-85: scripts/bootstrap-env.mjs persiste WALLET_ENCRYPTION_KEY en backend/.env junto a DATABASE_PATH por defecto backend/data/exchange.db. paso2 bootstrap-env.mjs:16-31 writeFileSync(.env); package.json start/dev lo invocan. HU-06-01 RN-6: la clave «nunca se persiste junto al material cifrado». Destino paso3: desaparece backend/scripts/; start/dev ya no llaman bootstrap; .env.example documenta el riesgo.
backend,7,CORRECCION,MENOR,SPEC,HU-06-01; RN-6,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R2 MENOR (RN-6 no exige alfabeto base64 estricto; el parseo laxo es real). L86-91: config/index.ts:114-118 Buffer.from(value,'base64') sin round-trip. Node descarta caracteres inválidos. Destino paso3: regex `^[A-Za-z0-9+/]{43}=?$` + round-trip canónico; si no, issue de clave mal formada."
backend,8,CORRECCION,MAYOR,SPEC,HU-06-01; RN-3; RN-2; AT-06-03-07,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R4/R5. L93-101: bip39.ts:47 `.trim().replace(/\s+/gu,' ')` usado como password PBKDF2 en L172. HU-06-01 RN-3: password = mnemonic_NFKD sin otra transformación. AT-06-03-07: coincidencia con BIP-44 de referencia. Destino paso3: normalizeMnemonic = NFKD puro; canonicalMnemonicForValidation colapsa espacios sólo para RN-2; seed-store persiste NFKD sin colapsar."
backend,9,CORRECCION,MAYOR,SPEC,HU-06-03; RN-11; HU-09-02; RN-5,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R4/R5. L103-110: app.ts:304-315 INTERNAL_API_KEY opcional; si falta, loopback basta (si no loopback ⇒ 403 UNAUTHORIZED). HU-06-03 RN-11: consulta «no pública». Destino paso3: INTERNAL_API_KEY siempre (ausente ⇒ UNAUTHORIZED deshabilitada; mismatch ⇒ UNAUTHENTICATED con timingSafeEqual)."
backend,10,COMPLETITUD,MENOR,SPEC,AT-09-02-11; HU-09-02; RN-12,ARCHIVO,SI,VERDADERO,RESUELTO,R2 MENOR (el revisor afirma comportamiento correcto; falta el test). L111-117: grep AT-09-02-11 en snapshots/backend/paso2-revisor/backend/tests → 0 hits (sólo spec). HU-09-02 RN-12/AT-09-02-11: 60 req/60 s por cuenta y endpoint. SlidingWindowRateLimiter existe. Destino paso3: tests/epica-09-rate-limit.test.ts con test «AT-09-02-11: las primeras 60… 61 responde RATE_LIMITED».
web,1,CORRECCION,MAYOR,SPEC,HU-09-05; RN-1; RN-2; RN-6; HU-09-01; RN-14; 00-fundaciones/modelo-de-errores.md,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R1 agrupa FST_ERR_BAD_URL + CORS + 431; se codea por RN-1/RN-2. L18-36: Fastify() app.ts:105-112 sin frameworkErrors; setErrorHandler :181-200 no cubre errores pre-ruteo. HU-09-05 RN-1 envelope `{error:{code,message,details?}}`; RN-2 catálogo cerrado (FST_ERR_BAD_URL no está); RN-6 400 no figura. Destino paso3: frameworkErrors (NOT_FOUND/INTERNAL_ERROR) + clientErrorHandler (VALIDATION_ERROR) con envelope y CORS."
web,2,CORRECCION,MAYOR,SPEC,HU-09-01; RN-14,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,R4/R5. L38-54: normalizePath app.ts:66-69 recorta barra; setNotFoundHandler :202-221 encuentra la ruta en KNOWN_ROUTES y responde 405 con method ∈ allowed. GET /api/v1/me/ no matchea (ignoreTrailingSlash off) pero normalizePath('/api/v1/me/')==='/api/v1/me' methods=['GET']. HU-09-01 RN-14: 405 = método no permitido sobre ruta existente. Destino paso3: routerOptions.ignoreTrailingSlash: true.
web,3,COMPLETITUD,MENOR,SPEC,AT-10-01-09; AT-10-01-10; HU-10-01; RN-11; RN-7,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R2 MENOR (implementación correcta; el AT no queda demostrado). L56-73: web/tests/HU-10-01-login.test.tsx:491 y :517. AT-10-01-09 espera meCalls>=1, satisfecho por TradingPage.tsx:29 authorizedFetch('/me'). AT-10-01-10 aserta estado final en login, no que trading nunca se monte. HU-10-01 RN-11: validar con GET /me. Destino paso3: asertos de checking pendiente y watchTradingMount para que trading no se monte en AT-10-01-10."
web,4,CORRECCION,MAYOR,SPEC,HU-10-01; RN-11,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R4/R5. L75-81: web/src/api/auth.ts:56-64 fetchProfile lanza TransportError si faltan campos; SessionProvider.tsx:112-114 lo trata como fallo de red ⇒ anonymous. HU-10-01 RN-11: «si responde 200, la sesión es válida». Destino paso3: parseProfile devuelve null sin lanzar; fetchProfile resuelve {profile} y el bootstrap autentica con profile null."
web,5,CORRECCION,MAYOR,SPEC,HU-01-03; RN-1; HU-10-01,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,R4/R5. L83-89: TradingPage.tsx:50-52 botón Salir → signOut() local. HU-01-03 RN-1: logout invalida el token vía POST /api/v1/auth/logout. KNOWN_ROUTES del snapshot web/paso2 no incluye logout. Destino paso3: se quita el botón y signOut del contexto; README documenta que no hay cierre de sesión.
web,6,OPERABILIDAD,MENOR,NINGUNA,,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R3 ancla=NINGUNA: cita README.md:12 y tests-e2e, no RN/AT/INV/HU ni archivo de spec/. L91-97: índice «secciones 10 a 15» vs Parte II hasta §16 (README L12 vs L544). tests-e2e/login-e2e.test.tsx:31-42 crea email aleatorio; el curl de trader@example.com en §16 es ajeno al e2e. Destino paso3: índice «secciones 10 a 16» y se elimina el curl superfluo del procedimiento e2e."
web,7,OTRO,MENOR,SPEC,RN-7,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R8 eje=OTRO (API muerta; RN-7 ya funciona por applyAnonymous). L99-102: SessionProvider.tsx:47,141,168-169. grep expireSession en web/ paso2: sólo esas tres apariciones (definición + value); tests no la invocan. Destino paso3: se eliminan expireSession y signOut del contexto."
mobile,1,CORRECCION,MAYOR,SPEC,HU-09-01; HU-01-03; RN-1; RN-2; HU-11-01; RN-6; AT-11-01-06,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,R1 agrupa backend sin ruta + cliente que no llama logout; se codea por RN-1. L21-36: DepositScreen.tsx:120-130 signOut(); SessionProvider.tsx:178 endSession sólo clearSession. backend app.ts:57-64 KNOWN_ROUTES sin /auth/logout. HU-09-01 mapa: Logout POST /api/v1/auth/logout 204. HU-01-03 RN-1: invalidación inmediata. HU-11-01 RN-6 / AT-11-01-06 exigen logout. Destino paso3: sessions.revoke + ruta POST /auth/logout; cliente logout() best-effort antes de borrar.
mobile,2,CORRECCION,MAYOR,SPEC,AT-11-01-06; HU-11-01; RN-6,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R4/R5. L38-49: secure-storage.ts:83-89 clearSession traga errores de deleteItemAsync; endSession (SessionProvider.tsx:104-113) pasa a anonymous igual. restore :127-145 restauraría el token. AT-11-01-06: «reabrir la app no restaura la sesión». Destino paso3: clearSession verifica re-lectura, tombstone y devuelve 'cleared'|'failed'; logout explícito no se da por bueno si failed."
mobile,3,OPERABILIDAD,MENOR,EJECUCION,,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,R3 ancla=EJECUCION (reporta `npm run test:e2e` → Tests: 2 failed / ECONNREFUSED). L51-58: tests-e2e/deposit-e2e.test.tsx:23-24 `/^https?:\/\//u.test(API_BASE_URL)` pero config.ts:13-17 defaultea a http://localhost:3000/api/v1 ⇒ configured siempre true. Destino paso3: la guarda mira process.env.EXPO_PUBLIC_API_BASE_URL.
mobile,4,COMPLETITUD,MENOR,SPEC,AT-11-01-08,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R4/R5. L60-67: login-security.test.tsx:41 mock virtual de @react-native-async-storage/async-storage (no es dependencia; ningún import); spies :97-107 siempre 0. Escaneo estático :114-134 recorre sólo mobile/src/ (deja fuera App.tsx e index.ts, que de hecho no usan AsyncStorage). Destino paso3: appSourceFiles() cubre App.tsx, index.ts y src/; el test exige esas rutas."
mobile,5,CORRECCION,MENOR,SPEC,AT-11-06-01,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R1 agrupa catch ausente + copied que no se resetea en refresh; MENOR (AT-11-06-01 exige la opción de copiar, no el detalle de feedback). L69-75: DepositScreen.tsx:102-107 `void onCopy()` sin catch; copied se resetea en :49/:97 (cambio de activo) no en load(..., 'refresh') :115. Destino paso3: resetCopyFeedback en load; onCopy con try/catch y MESSAGE_COPY_FAILED."
mobile,6,CORRECCION,MAYOR,SPEC,HU-10-01; RN-6; RG-6,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R4/R5. L77-83: LoginScreen.tsx:120-123 si retryAfterSeconds falta o es 0, retryAfter=0 y el botón no se deshabilita. HU-10-01 RN-6 (paridad RG-6): deshabilitar el reintento durante la espera. grep RATE_LIMITED en mobile/tests paso2: 0 hits. Destino paso3: FALLBACK_RETRY_AFTER_SECONDS=60 y describe RATE_LIMITED en login-screen.test.tsx."
mobile,7,COMPLETITUD,MENOR,NINGUNA,,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,R3 ancla=NINGUNA: no cita RN/AT/INV/HU ni spec/. L85-91: login-screen.test.tsx:99-119 segundo fireEvent.press con Pressable disabled (LoginScreen.tsx:219 disabled=submitting) no distingue disabled vs guarda onSubmit L85. Destino paso3: el test invoca onPress directo salteando disabled y cubre la guarda.
mobile,8,OPERABILIDAD,MENOR,EJECUCION,,ARCHIVO,SI,VERDADERO,RESUELTO,"R3 ancla=EJECUCION (reporta 4 tests fallidos bajo carga y 160/160 sin carga). L93-99: tests/setup.ts no llama configure({asyncUtilTimeout}). El default de @testing-library/react-native es 1000 ms (hecho de librería, no exige correr la suite). Destino paso3: configure({ asyncUtilTimeout: 10000 })."
