etapa,criterio,resultado,detalle
backend,RV-01,PASA,Existe sut/.pipeline/revision-backend.md (8620 bytes) idéntico a snapshots/backend/paso2-revisor/.pipeline/revision-backend.md; 10 puntos numerados (L12-117). No vacío.
backend,RV-02,PASA,diff -rq paso1-implementador vs paso2-revisor: Only in paso2-revisor: .pipeline (revision-backend.md). JSONL paso 2: único Write L2982 → /repo/.pipeline/revision-backend.md. Nada fuera de esa ruta.
backend,RV-03,PASA,R6. JSONL logs/backend.jsonl paso_inicio orden=2 L1005 → paso_fin L3117. Una sola escritura sobre revision-backend.md (Write L2982). 0 comandos shell que la escriban.
backend,RV-04,PASA,"R7. JSONL paso 2 incluye npm run typecheck (L1093), timeout 900 npm test (L1095), npm run build (L1421), node dist/main.js, npx tsx src/main.ts y curl contra el SUT (p. ej. L1244 GET /health, L1514 register/login)."
backend,RV-05,PASA,0/10 puntos con ancla=NINGUNA. Los 10 citan RN/AT/HU o archivo de spec/.
backend,RV-06,PASA,0/10 con ubicacion=NINGUNA. Puntos 1-5 y 7-9 ARCHIVO_LINEA; 6 y 10 ARCHIVO.
backend,RV-07,FALLA,"9 pares invertidos (3 adyacentes: 3→4, 5→6, 7→8) sobre buckets de la rúbrica (R2), no las etiquetas del revisor. Secuencia: MAYOR, MAYOR, MENOR, MAYOR, MENOR, MAYOR, MENOR, MAYOR, MAYOR, MENOR. Infractores de orden: puntos 3, 5 y 7 (MENOR) preceden a MAYOR posteriores."
backend,RV-08,PASA,"0/10 con eje=OTRO. Distribución: CORRECCION 8 (1,2,3,4,5,7,8,9); OPERABILIDAD 1 (6); COMPLETITUD 1 (10)."
backend,RV-09,PASA,0/10 con accionable=NO. Los 10 enuncian un cambio.
backend,RV-10,PASA,R8. Sin bloques de código. El preámbulo L3-7 (alcance/completitud/operabilidad) no resume lo ya listado. Sin encabezado de resumen ejecutivo ni conclusiones.
backend,RV-11,PASA,0/10 con veracidad=FALSO; 0 NO_VERIFICABLE. Los 10 VERDADERO contra paso2-revisor + spec.
backend,RV-12,PASA,"0/10 NO_RESUELTO. Los 10 RESUELTO en el diff paso2-revisor → paso3-implementador (app.ts, config, derivation/bip32, db/accounts, scripts eliminado, bip39, epica-09-rate-limit.test.ts)."
web,RV-01,PASA,Existe sut/.pipeline/revision-web.md (7462 bytes) idéntico a snapshots/web/paso2-revisor/.pipeline/revision-web.md; 7 puntos numerados (L18-102). No vacío.
