at_id,resultado,detalle,fuera_de_catalogo
AT-11-01-01,PASA,"Login evaluador.p2@eval.test/EvalPass12 navega a Depositar (Cerrar sesión, QR ETH, canal privado En vivo). auth_audit id=469 SUCCESS. Código: SessionManager.establish -> sessionStore.saveToken -> SecureStore.setItemAsync(orbe.session-token.v1); password solo en el request de login. Persistencia confirmada en AT-11-01-02. evidencia/AT-11-01-01-0-login.png, AT-11-01-01-1.png/.xml, AT-11-01-01-pre-submit.png. Tests: LoginScreen.test.tsx, api.test.ts, session.test.ts AT-11-01-01.",false
AT-11-01-02,PASA,"am force-stop host.exp.exponent + CMD_RELANZAR_APP: entra directo a Depositar sin formulario de login (misma EOA 0x2B9d4F8391d017ba673D63BBAF846C7FD22F21D8). auth_audit max sigue 469 (ningún login nuevo). CMD_LOG_BACKEND sin líneas HTTP (Fastify logger:false). Código App.tsx restore() lee SecureStore y setPhase(authenticated) sin GET /me; App.test.tsx AT-11-01-02 aserta urls=["".../deposit-address?asset=ETH""] y omite /me. evidencia/AT-11-01-02-1.png/.xml.",false
AT-11-01-03,PASA,"Cerrar sesión vuelve a Ingresá a tu cuenta (AT-11-01-03-1). Cold start posterior (force-stop + relanzar) sigue en login, HAS_DEPOSIT false (AT-11-01-03-2). sessions 3→2 (logout remoto revoca el token). auth_audit sin nuevas filas. App.test.tsx AT-11-01-03: sin token no llama fetch. Código restore() con token null no dispara deposit-address.",false
AT-11-01-04,PASA,"Password WrongPass99: UI ""Email o contraseña incorrectos."" (no enumera existencia del email); permanece en login, password limpiada. auth_audit 470 FAILURE INVALID_CREDENTIALS. Cold start posterior vuelve a login vacío (AT-11-01-04-2), no hay token persistido. evidencia/AT-11-01-04-1.png/.xml.",false
AT-11-01-05,PASA,"Sesión activa (AT-11-01-05-0). DELETE FROM sessions del evaluador (revocación server-side; el reinicio no invalida porque SQLite persiste). Tap USDC dispara GET /deposit-address → 401 UNAUTHENTICATED. UI única: ""Tu sesión expiró, ingresá nuevamente."" + login (AT-11-01-05-1). Cold start posterior entra a login sin Depositar (token borrado de SecureStore; AT-11-01-05-2).",false
AT-11-01-06,PASA,"Cerrar sesión vuelve a login sin aviso de expiración (EXPIRED False). Cold start (force-stop + relanzar) permanece en login, HAS_DEPOSIT false. evidencia/AT-11-01-06-1.png y AT-11-01-06-2.png. Tests App.test.tsx AT-11-01-06 (clearToken una vez, sin aviso de expiración).",false
AT-11-01-07,PASA,"Ingresar disabled con campos vacíos. Blur: ""Ingresá tu email."" y ""Ingresá tu contraseña."" (AT-11-01-07-empty-both). Email no-es-email + TAB: ""Ingresá un email válido."" (AT-11-01-07-invalid). auth_audit max inalterado (472). No hay petición de login. Tests LoginScreen.test.tsx AT-11-01-07.",false
AT-11-01-08,PASA,"Instrumentación: tests propios en /tmp/mobile-eval-tests (sessionStore.test.ts AT-11-01-08) PASS: SecureStore.setItemAsync(""orbe.session-token.v1"", token) y deleteItemAsync al borrar. Inspección: sessionStore.ts solo usa expo-secure-store; grep src/ sin AsyncStorage ni console que persista password. evidencia/tests-propios.log.",false
AT-11-01-09,PASA,"Corte: docker stop sut-2b (backend caído). Login con credenciales válidas: ""No se pudo conectar. Revisá tu conexión e intentá nuevamente."" distinto de INVALID_CREDENTIALS; permanece en login con el formulario editable (AT-11-01-09-1). docker start sut-2b; reintento del mismo formulario entra a Depositar (AT-11-01-09-2). No hubo persistencia de token durante el fallo.",false
AT-11-01-10,PASA,"KEYCODE_HOME 2026-09-07T16:30:18, sleep 60 real, am start ExperienceActivity 16:31:18 (task brought to front). Sigue Depositar + Cerrar sesión + Canal privado En vivo, sin pedir credenciales. evidencia/AT-11-01-10-1.png y AT-11-01-10-2.png.",false
