etapa,punto,eje,severidad,ancla,referencias,ubicacion,accionable,veracidad,destino,evidencia
backend,1,CORRECCION,MAYOR,SPEC,HU-06-02; RN-8; AT-06-02-08,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R1: artefacto L1 (unico item Alta). Cita: `src/crypto/wallet.ts:156-183` captura InvalidDerivedKeyError de cualquier componente del path pero reintenta solo address_index; repro I_L>=n en 44' abortado por timeout; cobertura solo ultimo child (`test/wallet.test.ts:89-100`). paso2-revisor/src/crypto/wallet.ts:156-158 deriveAddress recorre [...BIP44_ETHEREUM_PREFIX, addressIndex] via deriveChild; :80 lanza InvalidDerivedKeyError si I_L>=n; deriveNextValidAddress:177-185 incrementa address_index hasta MAX_ADDRESS_INDEX=2^31-1. Un fallo en un componente fijo hace fallar todos los indices. Spec HU-06-02 RN-8 (L65-68) y AT-06-02-08 (L170-177): si I_L>=n o k_hijo==0 se descarta ese indice y se avanza, determinista. R3 SPEC (cita HU/RN/AT; el timeout no cambia ancla). R2 MAYOR (incumple RN/AT; el artefacto arranca: JSONL L220 npm test exit 0). R4 VERDADERO por lectura del bucle (no hace falta reejecutar el timeout). R5 RESUELTO: diff paso2->paso3 wallet.ts introduce deriveNextValidChild por componente; wallet.test.ts cubre inyeccion en purpose/coinType/account/change/addressIndex."
backend,2,CORRECCION,MAYOR,SPEC,RNE-9; HU-01-02; RN-8; RN-9,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R1: artefacto L2; agrupa VALIDATION_ERROR sin auditar y RATE_LIMITED en parsing sin auditRateLimited; un punto, severidad del mayor (ambos MAYOR). Cita: `src/app.ts:111-119,194-197` rechaza logins en parsing/esquema antes de la unica escritura (`src/services/auth-service.ts:75-97,114-123`); JSON malformado ya rate-limited sale del error handler sin auditRateLimited. Verificado: login sin password -> 422 VALIDATION_ERROR y auth_audit 0 filas. paso2 app.ts:111-118 error handler envia RATE_LIMITED por pendingPublicRateLimit sin auditar; :194-197 login llama validateCredentialsBody (:44-62, lanza VALIDATION_ERROR si falta password) antes de authService.login; login() audita solo INVALID_CREDENTIALS/SUCCESS (:85-96); auditRateLimited (:110-112) solo desde enforcePublicRateLimit (:162-166), que no corre si el parseo JSON falla. Spec Epica 01 RNE-9 (README L136-140): todo intento de login (exito o fallo) con reason RATE_LIMITED etc.; HU-01-02 RN-8/RN-9 (L69-84) fijan rate limit antes del esquema. R3 SPEC. R2 MAYOR. R4 VERDADERO (codigo + el inject del revisor coincide con el camino 422/auditCount=0, verificable estaticamente). R5 RESUELTO: paso3 centraliza auditLoginAttempt en onResponse de app.ts y cubre VALIDATION_ERROR/RATE_LIMITED; test/login-audit.test.ts nuevo."
backend,3,CORRECCION,MENOR,SPEC,00-fundaciones/modelo-de-errores.md; HU-09-05; RN-4; RN-10,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R1: artefacto L3. Cita: `src/app.ts:139-145` NOT_FOUND sin details; GET /api/v1/foo solo code y message; pide details={resource,id} segun catalogo §3.2 y HU-09-05 RN-4/RN-10. paso2 app.ts:139-145 setNotFoundHandler: si la ruta no esta en KNOWN_ROUTES, `new ApiError(""NOT_FOUND"")` sin details; errors.ts:44-50 omite details si no hay. Catalogo 00-fundaciones/modelo-de-errores.md §3.2 L90: NOT_FOUND details esperado {resource, id}. HU-09-05 RN-4 (L33-36): details sigue claves del catalogo; RN-1 (L25-27) details opcional; RN-10 (L89-93) para ruta inexistente exige NOT_FOUND con envelope (details explicitos solo para METHOD_NOT_ALLOWED); AT-09-05-10 (L158-163) no exige details en 404. R2 MENOR: no es INV ni arranque; RN-10/AT no mandan {resource,id} y RN-1 deja details opcional (la etiqueta Baja del revisor no se usa). R3 SPEC. R4 VERDADERO: el 404 sale sin details (lectura; el curl del revisor L227 mostro solo code/message, confirmable en codigo). R5 RESUELTO: paso3 app.ts NOT_FOUND con {resource:""route"", id: path}."
web,1,CORRECCION,MAYOR,SPEC,HU-10-01; RN-9; RN-11; AT-10-01-09,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R1: artefacto L1. Cita: `web/src/App.tsx:41-50` valida sesion solo al montar y no escucha popstate, aunque `web/src/session.ts:52-55` lo emite; atras deja URL /login con pantalla autenticada sin GET /me ni redirigir a /trading. paso2 App.tsx:41-46 useEffect solo checkPersistedSession + SESSION_EXPIRED_EVENT, sin popstate; handleAuthenticated:48-50 navigate(""/trading"")+setState(authenticated). session.ts:52-55 navigate hace pushState/replaceState y dispatch PopStateEvent. Tras login, history queda /login luego /trading; Back cambia URL a /login sin revalidar. Spec HU-10-01 RN-9 (L24) sesion activa en login redirige a trading; RN-11 (L26) valida GET /me al cargar; AT-10-01-09 (L87-91) navegar a login con token vigente y GET /me 200 redirige a trading. R3 SPEC. R2 MAYOR. R4 VERDADERO por lectura (no hay listener popstate). R5 RESUELTO: paso3 App.tsx agrega listener popstate que llama checkPersistedSession al entrar a /login; App.test.tsx cubre AT-10-01-09 SPA."
web,2,CORRECCION,MAYOR,SPEC,HU-10-01; RN-6; AT-10-01-06,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R1: artefacto L3 (2o item de lista; L2 en blanco no es punto). Cita: `web/src/LoginPage.tsx:46-52` resta uno por setTimeout; pestana suspendida descuenta un segundo al reanudar y deja Ingresar deshabilitado tras retryAfterSeconds. paso2 LoginPage.tsx:46-52 useEffect encadena un setTimeout(1000) que hace current-1; :115 disabled incluye retrySeconds>0. Un solo timer pendiente: si la pestana se congela, al volver solo baja 1. Spec HU-10-01 RN-6 (L21) y AT-10-01-06 (L68-72): transcurrido el lapso de details.retryAfterSeconds se rehabilita el boton. R3 SPEC. R2 MAYOR. R4 VERDADERO: el codigo cuenta callbacks, no Date.now. R5 RESUELTO: paso3 introduce retryDeadline=Date.now()+seconds*1000 y remaining por reloj; LoginPage.test.tsx avanza el reloj 30s con un tick y espera boton habilitado."
mobile,1,CORRECCION,MAYOR,SPEC,HU-11-01; RN-5; RN-6; AT-11-01-05; AT-11-01-06,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R1: artefacto L1; agrupa swallow de deleteItemAsync y logout que espera al backend primero (un punto, MAYOR). Cita: AuthContext.tsx:62-75 ignora fallo de SecureStore.deleteItemAsync y marca sesion eliminada; logout:93-103 espera al backend; si fallan remoto y borrado local el token queda y un cold start reautentica; aun con logout remoto se restaura el token revocado antes del primer 401. paso2 AuthContext.tsx:66-75 try/catch vacio alrededor de sessionStorage.remove() y anyway limpia memoria; logout:93-103 await logoutRequest y recien despues handleUnauthenticated. session-storage.ts:16-18 remove = deleteItemAsync sin reintento. Spec HU-11-01 RN-6 (L48-49) y AT-11-01-06 (L117-122): logout borra token del almacen seguro y memoria; reabrir no restaura. RN-5/AT-11-01-05: UNAUTHENTICATED borra el persistido. RN-11 cubre fallo de LECTURA, no de delete. R3 SPEC. R2 MAYOR. R4 VERDADERO. R5 RESUELTO: paso3 handleUnauthenticated await sessionStorage.remove() sin tragar; logout borra local primero; session-storage.ts reintenta overwrite+delete con tombstone signed-out."
mobile,2,CORRECCION,MAYOR,SPEC,HU-11-06; RN-2; AT-11-06-01; AT-11-06-26,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,R1: artefacto L3. Cita: DepositScreen.tsx:41-63 cada cambio dispara carga sin cancelar ni validar activo vigente; respuesta ETH tardia puede pisar USDC (o viceversa). paso2 load():41-59 await getDepositAddress(asset) y setDeposit(response) sin request id; useEffect:61-63 void load() al cambiar asset. Spec HU-11-06 RN-2 (L42-54): QR EIP-681 segun activo (ETH vs USDC con tokenAddress); AT-11-06-01 (L152-157) aclara el activo correspondiente; AT-11-06-26 (L339-346) URI USDC con tokenAddress. Mostrar QR del activo anterior bajo el selector viola RN-2. R3 SPEC. R2 MAYOR. R4 VERDADERO. R5 RESUELTO: paso3 latestRequestRef ignora respuestas stale; selectAsset invalida; render exige deposit.asset===asset; app.test.tsx cambia en el diff.
mobile,3,OPERABILIDAD,MAYOR,SPEC,RG-5; HU-11-01; RN-12; AT-11-01-10; AT-11-01-12,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,R1: artefacto L5. Cita: usePrivateSocket.ts:99-117 onclose del socket anterior llama siempre scheduleReconnect() aunque connect() ya instalo uno nuevo en AppState=active; background->foreground rapido->onclose viejo agenda un tercer socket. paso2 :99-103 onclose: if (current===socket) socket=null; luego scheduleReconnect() siempre (aunque current!==socket). AppState active:106-109 foreground=true; connect() crea socket nuevo sin cerrar el programado. scheduleReconnect:45-54 no chequea generacion. Spec HU-11 README RG-5 (L100-102): suspender en background y reconectar/resync en foreground; HU-11-01 RN-12 (L73-77) handshake con el mismo token; AT-11-01-10/12 ciclo de vida/reconexion. El defecto de sockets duplicados es real (lectura). R3 SPEC. R2 MAYOR (cita RN/AT de ciclo de vida; no impide arranque). R4 VERDADERO del codigo. R5 RESUELTO: paso3 onclose retorna si current!==socket; connect() no abre otro si ya hay socket.
mobile,4,CORRECCION,MAYOR,SPEC,RG-6; HU-10-01; RN-6; AT-10-01-06,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,R1: artefacto L7. Cita: LoginScreen.tsx:50-54 muestra retryAfterSeconds pero finally:60-63 rehabilita el boton; disabled:109-113 solo depende de submitting. Paridad RG-6 vs HU-10-01 RN-6 / AT-10-01-06. paso2 :50-54 setError con segundos; :60-63 submittingRef=false; setSubmitting(false); Pressable disabled={submitting} :111. No hay cooldown. Spec HU-11 README RG-6 (L103-104) paridad observable con HU-10-01; HU-10-01 RN-6 y AT-10-01-06 deshabilitan reintento durante retryAfterSeconds. R3 SPEC. R2 MAYOR. R4 VERDADERO. R5 RESUELTO: paso3 rateLimitedUntil deadline; disabled si submitting o rateLimitedUntil!==null; submit no envia en cooldown.
mobile,5,OPERABILIDAD,MENOR,EJECUCION,,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R1: artefacto L9. Cita: `mobile/app.json:8` declara newArchEnabled, no admitida por esquema Expo SDK 57; expo-doctor falla `should NOT have additional property 'newArchEnabled'` (20/21). Pide eliminar/reemplazar. No cita RN/AT/HU/spec (R3 -> EJECUCION, no NINGUNA). paso2 mobile/app.json:8 `""newArchEnabled"": true`; package.json expo ^57.0.16. R2 MENOR: no es INV ni AT/RN; el artefacto SI compila/exporta (JSONL L311 npm run build, L312 typecheck:mobile, L316 npm run export:mobile exit 0) asi que no es BLOQUEANTE. R4 VERDADERO: la propiedad extra esta en app.json:8 (lectura). El chequeo expo-doctor es el metodo de descubrimiento; el estado senalado se verifica en el archivo. R5 RESUELTO: paso3 app.json elimina newArchEnabled."
